51,39,32,40,34,23,20,6,19
21,27,38,39,32,20,22,39,25
12,12,14,15,8,25,5,6,11
25,21,16,8,6,3,8,10,0
15,12,8,6,7,19,8,9,2
26,18,6,4,14,3,11,0,1
6,6,8,3,15,12,8,0,3
10,8,5,16,8,5,2,4,3
4,3,1,4,5,4,17,1,0
0,4,18,2,2,2,1,2,1
12,0,3,3,0,2,5,0,6
2,0,3,1,0,1,10,0,0
1,2,0,8,0,0,0,0,0
2,2,0,0,0,3,0,0,2
0,6,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,2
0,0,0,1,0,0,2,0,0
0,2,0,0,0,0,0,0,1
0,1,1,0,0,1,0,0,0
0,0,1,0,0,2,0,0,0
0,3,0,0,0,0,0,0,0
0,0,0,2,0,0,0,1,0
0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
