0,0,1,0,0,0,0,6,0,0,22,1,3,0,0
0,0,0,0,0,1,0,2,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,17,0,0,0,0,0,0,12,0
19,1,0,0,0,4,0,5,0,0,21,0,10,0,2
0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
43,30,0,7,0,1,63,0,0,0,0,0,0,7,0
136,3,0,0,0,1,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,0,0,0,2,3,0,2,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,20,0,0,13,46,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,3,0,0,2,0,3,0,3
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
57,0,20,0,12,11,0,58,0,0,0,2,1,9,0
6,0,0,0,0,0,0,6,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,19,5,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,11,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,1,0,17,0,0,14,0,0
109,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0,0,0,0,2,0
0,0,0,0,0,0,0,5,0,0,2,0,2,0,3
18,0,0,0,0,0,0,0,0,0,11,0,2,0,0
99,21,0,5,0,4,35,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
