0,0,0,0,0,0,0,0,0,6,0
2,0,0,0,0,0,0,1,0,16,6
20,0,0,0,0,0,0,0,0,0,8
7,0,0,1,0,0,0,0,0,10,1
0,0,0,0,0,0,0,0,0,16,0
0,0,0,0,0,0,0,1,0,0,0
4,3,2,1,0,0,0,0,0,0,1
1,0,0,0,2,0,0,0,2,0,1
0,3,0,1,0,0,0,0,0,4,3
39,35,1,0,0,0,1,0,1,36,30
1,3,0,0,0,0,0,18,0,32,0
0,0,0,0,0,0,0,0,0,11,0
0,0,0,0,0,0,0,7,0,0,0
21,15,0,15,0,0,1,0,0,0,13
13,0,0,0,0,0,0,28,0,0,3
0,0,0,0,0,0,0,7,0,0,2
0,0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,4,0
3,0,0,0,0,0,0,19,2,12,9
2,10,0,1,0,0,0,0,0,0,3
0,0,0,0,0,0,0,16,0,2,11
0,0,0,0,0,0,0,1,0,0,1
4,11,1,84,0,5,0,0,0,0,10
0,0,0,0,0,0,0,1,0,0,0
2,8,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,2,0
28,0,0,0,0,0,0,1,0,1,0
