4,0,0,0,0,0
13,2,0,0,0,2
19,17,0,0,0,2
6,0,0,0,0,0
0,0,0,2,0,0
0,0,0,0,0,1
0,5,0,0,0,5
0,0,0,0,7,4
0,0,0,0,0,3
0,0,0,3,0,0
0,0,3,0,0,0
0,2,0,0,0,0
4,0,0,0,0,0
0,12,0,0,0,0
7,18,0,4,0,0
30,0,0,12,0,0
114,0,0,0,0,0
9,0,0,0,0,0
0,8,0,3,0,0
20,0,0,0,0,0
15,0,0,0,0,0
5,82,16,0,0,0
19,0,0,0,0,0
0,0,0,0,0,1
16,3,0,48,0,88
138,0,0,0,0,0
50,0,0,0,0,0
8,0,0,0,0,0
0,148,0,156,43,64
74,0,0,0,0,0
2,0,0,0,0,0
97,0,0,0,0,0
0,6,0,0,0,1
0,3,0,0,0,1
5,18,0,0,0,8
18,0,0,0,0,0
9,0,0,0,0,0
52,0,0,0,5,0
0,0,0,0,0,6
230,0,0,0,0,0
38,0,2,0,0,0
0,0,6,0,0,0
5,0,0,0,0,0
24,0,0,0,0,0
9,0,0,0,0,0
54,0,284,0,0,0
8,0,0,0,0,0
0,1,0,0,0,0
0,6,0,0,0,23
