1,14,4
2,15,4
3,11,3
4,13,4
5,NA,NA
6,NA,NA
7,NA,NA
8,13,1
9,20,0
10,20,0
11,14,2
12,NA,NA
13,14,2
14,13,4
15,20,1
16,NA,NA
17,NA,NA
18,19,1
19,12,5
20,NA,NA
21,NA,NA
22,20,0
23,20,0
24,19,0
25,20,0
26,7,2
27,19,1
